,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
1,0.16,17,48,35,1.2,1.5
2,0.22,42,38,20,1.3,1.5
3,0.12,70,18,12,1.5,1.5
4,0.16,66,20,14,1.45,1.5
5,0.12,65,27,9,1.63,1.8
6,0.21,45,40,15,1.2,2
7,0.19,43,43,14,1.2,3
8,0.19,45,40,15,1.2,2
9,0.21,44,40,16,1.25,0.8
10,0.23,44,40,17,1.3,3
11,0.21,25,53,23,1.3,2
12,0.22,11,68,21,1.25,2
13,0.21,25,53,23,1.3,2
14,0.22,29,54,17,1.35,2
15,0.11,87,7,7,1.5,1.5
16,0.16,66,20,14,1.45,1.5
17,0.11,87,7,7,1.5,1.5
18,0.16,66,20,14,1.45,1.5
19,0.11,87,7,7,1.5,1.5
20,0.11,87,7,7,1.63,2
21,0.11,87,7,7,1.5,1.5
22,0.08,96,1,3,1.5,0.8
23,0.14,63,26,12,1.35,8
24,0.22,7,70,23,1.18,4.5
25,0.21,10,68,23,1.18,5
26,0.2,42,40,18,1.3,3
27,0.16,63,26,11,1.3,2
28,0.16,65,20,15,1.33,2
29,0.16,63,26,11,1.3,2
30,0.16,65,20,15,1.33,2
31,0.2,22,56,22,1.2,3
32,0.21,19,60,21,1.28,3
33,0.21,19,60,21,1.28,3
34,0.21,19,60,21,1.28,3
35,0.21,11,65,24,1.2,1.6
36,0.21,19,60,21,1.28,3
37,0.22,41,41,18,1.2,3
38,0.21,19,60,21,1.28,3
39,0.22,41,41,18,1.2,3
40,0.21,9,65,27,1.45,2
41,0.17,64,27,10,1.4,6
42,0.14,66,20,14,1.3,2
43,0.21,44,40,16,1.4,2.5
44,0.2,22,56,22,1.38,2
45,0.2,44,40,16,1.48,2.5
46,0.19,43,43,14,1.2,3
47,0.21,45,40,15,1.2,2
48,0.21,14,72,14,1.18,3
49,0.23,27,54,19,1.25,3
50,0.21,14,72,14,1.18,3
51,0.23,27,54,19,1.25,3
52,0.22,11,68,21,1.25,2
53,0.22,29,54,17,1.35,2
54,0.22,29,54,17,1.35,2
55,0.22,11,68,21,1.25,2
56,0.11,87,8,5,1.45,2.3
57,0.13,78,16,6,1.88,1.3
59,0.08,94,3,3,1.58,0.8
60,0.17,64,27,10,1.6,3
61,0.11,85,9,6,1.58,1.5
62,0.11,85,9,6,1.58,1.5
63,0.08,95,1,5,1.65,1.8
64,0.08,93,1,6,1.58,3
65,0.1,95,1,4,1.65,1.8
66,0.08,96,2,2,1.54,0.8
67,0.08,84,8,8,1.55,0.8
68,0.11,86,7,7,1.51,2
69,0.11,87,7,6,1.51,2
70,0.11,78,16,6,1.52,2
71,0.11,77,16,7,1.63,2
72,0.18,68,14,18,1.35,8
73,0.11,87,7,6,1.51,2
74,0.17,64,27,9,1.4,6
76,0.08,96,2,2,1.55,0.8
77,0.08,96,2,2,1.55,0.8
78,0.11,86,7,7,1.5,2
79,0.17,64,27,9,1.38,6
80,0.17,46,43,11,1.4,6
82,0.11,87,7,6,1.5,0.8
83,0.11,87,7,6,1.53,1.5
84,0.11,87,7,6,1.45,1.5
85,0.21,45,43,12,1.5,3
86,0.11,63,27,10,1.51,2
87,0.17,70,22,8,1.4,6
88,0.08,93,3,4,1.54,0.8
89,0.08,93,3,4,1.54,0.8
90,0.08,94,3,3,1.59,0.8
91,0.08,93,3,4,1.58,0.8
92,0.08,94,3,3,1.59,0.8
93,0.08,93,3,4,1.58,0.8
94,0.08,93,3,4,1.54,0.8
95,0.11,87,6,7,1.2,1.3
96,0.08,94,2,4,1.54,0.8
97,0.1,95,1,4,1.65,1.8
98,0.08,94,3,3,1.59,0.8
99,0.1,87,7,6,1.6,2
100,0.08,94,3,3,1.59,0.8
101,0.08,96,1,3,1.55,6
102,0.11,86,7,7,1.52,1.5
103,0.16,66,20,14,1.45,1.5
104,0.16,65,20,15,1.33,2
105,0.16,66,20,14,1.45,1.5
106,0.16,65,20,15,1.33,2
107,0.08,94,3,3,1.59,0.8
108,0.21,10,68,23,1.18,5
109,0.16,66,20,14,1.3,2
110,0.23,26,53,21,1.3,3
111,0.17,64,26,10,1.35,1.5
112,0.16,64,26,10,1.4,6.5
113,0.11,87,8,5,1.45,2.3
114,0.21,45,43,12,1.5,3
115,0.1,87,7,6,1.6,2
117,0.08,94,3,3,1.58,0.8
118,0.2,39,36,25,0.9,12
120,0.17,64,27,10,1.6,3
121,0.11,85,9,6,1.58,1.5
122,0.11,85,9,6,1.58,1.5
123,0.1,95,1,4,1.65,1.8
124,0.08,94,3,3,1.5,0.8
125,0.1,95,1,4,1.65,1.8
126,0.08,96,2,2,1.54,0.8
127,0.11,87,7,6,1.51,2
128,0.11,78,16,6,1.52,2
129,0.11,87,7,6,1.51,2
130,0.17,64,27,9,1.4,6
131,0.08,84,8,8,1.55,0.8
132,0.11,86,7,7,1.51,2
133,0.19,40,38,22,1.35,13
135,0.08,96,2,2,1.55,0.8
136,0.08,95,3,2,1.54,0.8
137,0.11,87,7,6,1.51,1.5
138,0.08,96,2,2,1.55,0.8
139,0.11,86,7,7,1.5,2
